Activation,Solver,Hidden layer sizes,Learning rate,Accuracy,Training time
relu,sgd,"(64,)",0.001,0.4144805876180483,9.474952936172485
relu,sgd,"(64,)",0.01,0.2696747114375656,1.7592923641204834
relu,sgd,"(64,)",0.1,0.1930745015739769,0.6562416553497314
relu,sgd,"(128,)",0.001,0.44700944386149005,27.845545530319214
relu,sgd,"(128,)",0.01,0.2675760755508919,14.4610915184021
relu,sgd,"(128,)",0.1,0.19202518363064008,2.283268928527832
relu,sgd,"(64, 64)",0.001,0.4155299055613851,13.875862836837769
relu,sgd,"(64, 64)",0.01,0.1930745015739769,1.486022710800171
relu,sgd,"(64, 64)",0.1,0.19202518363064008,0.8729202747344971
relu,sgd,"(128, 128)",0.001,0.45750262329485836,34.75737118721008
relu,sgd,"(128, 128)",0.01,0.19517313746065057,12.245777606964111
relu,sgd,"(128, 128)",0.1,0.19202518363064008,1.8250267505645752
relu,adam,"(64,)",0.001,0.49737670514165794,13.441237926483154
relu,adam,"(64,)",0.01,0.3252885624344176,6.358426094055176
relu,adam,"(64,)",0.1,0.1930745015739769,1.8407986164093018
relu,adam,"(128,)",0.001,0.5068205666316894,44.38325595855713
relu,adam,"(128,)",0.01,0.3756558237145855,27.97834348678589
relu,adam,"(128,)",0.1,0.1930745015739769,9.747272253036499
relu,adam,"(64, 64)",0.001,0.5299055613850997,19.386342525482178
relu,adam,"(64, 64)",0.01,0.453305351521511,9.908536195755005
relu,adam,"(64, 64)",0.1,0.19202518363064008,2.3100898265838623
relu,adam,"(128, 128)",0.001,0.5687303252885625,44.7371506690979
relu,adam,"(128, 128)",0.01,0.3074501573976915,16.166409015655518
relu,adam,"(128, 128)",0.1,0.1930745015739769,16.061841011047363
logistic,sgd,"(64,)",0.001,0.3651626442812172,21.56378746032715
logistic,sgd,"(64,)",0.01,0.4050367261280168,13.42009449005127
logistic,sgd,"(64,)",0.1,0.1930745015739769,1.1765680313110352
logistic,sgd,"(128,)",0.001,0.36306400839454356,30.391659259796143
logistic,sgd,"(128,)",0.01,0.42392444910807975,27.270084857940674
logistic,sgd,"(128,)",0.1,0.1930745015739769,1.784045934677124
logistic,sgd,"(64, 64)",0.001,0.2759706190975866,10.842524290084839
logistic,sgd,"(64, 64)",0.01,0.385099685204617,11.045459508895874
logistic,sgd,"(64, 64)",0.1,0.2990556138509968,2.339447021484375
logistic,sgd,"(128, 128)",0.001,0.2770199370409234,30.456181526184082
logistic,sgd,"(128, 128)",0.01,0.45435466946484787,28.528732299804688
logistic,sgd,"(128, 128)",0.1,0.28436516264428124,5.233348369598389
logistic,adam,"(64,)",0.001,0.459601259181532,13.327046155929565
logistic,adam,"(64,)",0.01,0.1930745015739769,1.485332727432251
logistic,adam,"(64,)",0.1,0.21091290661070305,1.2190821170806885
logistic,adam,"(128,)",0.001,0.5582371458551941,37.01527380943298
logistic,adam,"(128,)",0.01,0.2528856243441763,7.6642749309539795
logistic,adam,"(128,)",0.1,0.1930745015739769,6.1154656410217285
logistic,adam,"(64, 64)",0.001,0.4858342077649528,17.18304204940796
logistic,adam,"(64, 64)",0.01,0.3683105981112277,6.622726917266846
logistic,adam,"(64, 64)",0.1,0.1930745015739769,3.6117610931396484
logistic,adam,"(128, 128)",0.001,0.5267576075550892,45.127870321273804
logistic,adam,"(128, 128)",0.01,0.25498426023084997,10.406777143478394
logistic,adam,"(128, 128)",0.1,0.16684155299055614,5.817451477050781
tanh,sgd,"(64,)",0.001,0.40818467995802726,12.554816484451294
tanh,sgd,"(64,)",0.01,0.32214060860440713,3.1482937335968018
tanh,sgd,"(64,)",0.1,0.21091290661070305,1.1678755283355713
tanh,sgd,"(128,)",0.001,0.44176285414480587,27.5783851146698
tanh,sgd,"(128,)",0.01,0.36096537250786986,5.145869731903076
tanh,sgd,"(128,)",0.1,0.1930745015739769,2.1421263217926025
tanh,sgd,"(64, 64)",0.001,0.4018887722980063,14.412414073944092
tanh,sgd,"(64, 64)",0.01,0.2801678908709339,1.8729686737060547
tanh,sgd,"(64, 64)",0.1,0.1930745015739769,3.9600634574890137
tanh,sgd,"(128, 128)",0.001,0.4459601259181532,34.96201419830322
tanh,sgd,"(128, 128)",0.01,0.2728226652675761,4.4689013957977295
tanh,sgd,"(128, 128)",0.1,0.06925498426023086,2.3083653450012207
tanh,adam,"(64,)",0.001,0.46799580272822666,13.4699125289917
tanh,adam,"(64,)",0.01,0.21091290661070305,4.469014406204224
tanh,adam,"(64,)",0.1,0.1930745015739769,1.4693942070007324
tanh,adam,"(128,)",0.001,0.49842602308499473,43.03257513046265
tanh,adam,"(128,)",0.01,0.2539349422875131,7.628938436508179
tanh,adam,"(128,)",0.1,0.06925498426023086,3.6141815185546875
tanh,adam,"(64, 64)",0.001,0.4616998950682057,12.790729999542236
tanh,adam,"(64, 64)",0.01,0.2539349422875131,3.8132238388061523
tanh,adam,"(64, 64)",0.1,0.21091290661070305,1.2427406311035156
tanh,adam,"(128, 128)",0.001,0.5120671563483735,23.042043447494507
tanh,adam,"(128, 128)",0.01,0.2812172088142707,7.339624404907227
tanh,adam,"(128, 128)",0.1,0.16684155299055614,3.6684799194335938
